Temperature, Pressure,Cal altitude, Approx altitude
19.78,102016.94,37908.26,-57.45
19.78,102017.43,37762.1,-57.59
19.78,102018.57,37468.45,-57.75
19.78,102019.88,37187.45,-57.7
19.78,102018.58,37466.61,-57.56
19.79,102019.88,37187.45,-57.61
19.77,102015.67,38367.6,-57.35
19.79,102017.75,37673.95,-57.64
19.77,102016.82,37947.74,-57.43
19.78,102014.17,39242.86,-57.22
19.78,102018.57,37468.45,-57.65
19.78,102019.39,37286.26,-57.37
19.78,102017.43,37762.1,-57.49
19.79,102017.75,37673.95,-57.54
19.79,102018.89,37394.87,-57.7
19.78,102018.09,37586.54,-57.55
19.79,102020.36,37094.14,-57.79
19.79,102021.02,36975.39,-57.54
19.79,102018.57,37470.28,-57.59
19.8,102020.99,36980.86,-57.72
19.8,102020.16,37132.65,-57.83
19.8,102022.78,36692.27,-57.93
19.79,102019.88,37187.45,-57.52
19.8,102018.53,37477.65,-57.62
19.8,102018.05,37596.46,-57.54
19.79,102016.61,38014.21,-57.37
19.79,102015.96,38252.16,-57.59
19.8,102020.49,37070.88,-57.74
19.8,102017.72,37682.33,-57.88
19.79,102021.35,36918.95,-57.63
19.8,102020.49,37070.88,-57.74
19.8,102020,37162.87,-57.72
19.8,102020.16,37132.65,-57.42
19.79,102015.79,38318.35,-57.36
19.8,102018.85,37403.66,-57.68
19.8,102019.67,37228.17,-57.57
19.8,102018.36,37518.8,-57.5
19.81,102017.22,37823.03,-57.73
19.81,102021.14,36955.02,-57.72
19.8,102017.72,37682.33,-57.38
19.81,102016.08,38203.72,-57.34
19.81,102015.58,38408.28,-57.35
19.8,102014.94,38724.36,-57.34
19.81,102019.5,37263.43,-57.52
19.81,102016.89,37922.95,-57.53
19.81,102018.69,37441.14,-57.4
19.81,102019.5,37263.43,-57.45
19.82,102017.67,37694.99,-57.53
19.81,102016.24,38145.38,-57.62
19.82,102019.96,37172.05,-57.8
19.82,102019.3,37306.08,-57.74
19.82,102019.63,37237.72,-57.5
19.83,102018.64,37452,-57.59
19.83,102018.94,37384.37,-57.62
19.83,102018.15,37570.8,-57.58
19.83,102021.55,36884.91,-57.83
19.83,102017.83,37653.18,-57.49
19.82,102015.71,38354.29,-57.53
19.83,102020.92,36991.86,-57.78
19.83,102017.99,37612.46,-57.5
19.83,102017.5,37742.32,-57.61
19.83,102017.96,37620.52,-57.54
19.84,102020.24,37117.73,-57.71
19.82,102017.67,37694.99,-57.41
19.83,102016.69,37988.29,-57.43
19.84,102018.11,37580.62,-57.31
19.83,102014.36,39094.57,-57.32
19.84,102016.16,38174.25,-57.38
19.83,102016.03,38221.69,-57.5
19.83,102018.28,37537.87,-57.55
19.84,102018.6,37461.12,-57.59
19.83,102018.15,37570.8,-57.62
19.84,102020.57,37056.5,-57.59
19.84,102019.25,37316.08,-57.64
19.83,102018.77,37423.18,-57.47
19.83,102017.14,37846.23,-57.45
19.84,102017.46,37755.48,-57.5
19.84,102016.16,38174.25,-57.35
19.84,102016.48,38059.33,-57.65
19.85,102019.74,37215.54,-57.68
19.85,102018.76,37424.97,-57.59
19.84,102017.78,37665.6,-57.54
19.85,102018.73,37432.14,-57.82
19.84,102018.11,37580.62,-57.63
19.84,102018.28,37539.78,-57.82
19.84,102022.19,36781.68,-57.71
19.84,102018.94,37384.37,-57.72
19.85,102021.86,36833.8,-57.79
19.84,102020.24,37117.73,-57.71
19.85,102019.58,37247.31,-57.91
19.84,102021.71,36859.17,-57.44
19.84,102016.81,37950.25,-57.52
19.85,102018.4,37509.36,-57.75
19.85,102019.74,37215.54,-57.62
19.84,102018.11,37580.62,-57.4
19.84,102015.99,38239.89,-57.45
19.86,102019.38,37289.55,-57.9
19.85,102021.5,36892.7,-57.68
19.86,102020.19,37126.67,-57.8
19.86,102021.17,36948.28,-57.71
19.85,102019.22,37322.79,-57.71
19.85,102018.08,37588.52,-57.68
19.84,102018.11,37580.62,-57.58
19.85,102020.03,37156.78,-57.87
19.86,102020.52,37065.12,-57.75
19.85,102018.89,37394.87,-57.84
19.85,102020.89,36998.77,-57.74
19.85,102017.95,37622.54,-57.53
19.85,102022,36812.52,-57.87
19.85,102022,36812.52,-57.52
19.85,102018.73,37432.14,-57.6
19.85,102017.58,37720.62,-57.45
19.86,102017.75,37676.03,-57.51
19.85,102018.08,37588.52,-57.54
19.85,102019.38,37289.55,-57.68
19.86,102020.52,37065.12,-57.66
19.85,102016.47,38062.03,-57.41
19.85,102018.89,37394.87,-57.46
19.85,102017.1,37860.32,-57.51
19.86,102019.38,37289.55,-57.65
19.85,102018.08,37588.52,-57.59
19.85,102018.57,37470.28,-57.25
19.86,102016.27,38133.98,-57.4
19.85,102017.58,37720.62,-57.59
