351.92,0.32,0.0005,359.78,0,0
359.47,-6.82,0.0117,359.78,0,0
359.84,-6.97,0.0242,359.78,-0.06,0.0001
352.87,0,0.0241,359.78,0.16,0.0001
352.87,0,0.0241,359.78,0.16,0.0004
352.87,0,0.024,359.78,-0.03,0.0004
352.87,0.12,0.0238,359.78,-0.03,0.0003
352.87,0.12,0.0235,359.78,-0.15,0
352.87,0.08,0.0233,359.78,0.05,0.0001
352.87,0.18,0.023,359.78,0.05,0.0002
352.87,0.18,0.0226,359.78,0.32,0.0008
352.87,0.38,0.0219,359.78,0.16,0.0011
352.87,0.37,0.0212,359.78,0.16,0.0014
352.87,0.37,0.0205,359.78,0.07,0.0015
352.87,0,0.0205,359.78,0.2,0.0019
352.87,0.27,0.0199,359.78,0.2,0.0022
352.87,0.27,0.0194,359.78,0.31,0.0028
352.87,0.27,0.0189,359.78,0.12,0.003
352.87,0.27,0.0183,359.78,0.12,0.0032
352.87,0.16,0.018,359.78,0.31,0.0038
352.87,0.18,0.0177,359.78,0.2,0.0041
352.87,0.18,0.0173,359.78,0.2,0.0045
352.87,0.3,0.0168,359.78,0.31,0.005
352.87,0.5,0.0158,359.78,0.27,0.0055
352.87,0.5,0.0149,359.78,0.27,0.006
352.87,0.26,0.0144,359.78,0.57,0.007
352.87,0.5,0.0135,359.78,0.57,0.008
352.87,0.5,0.0125,359.78,0.38,0.0087
352.87,0.3,0.012,359.78,0.38,0.0094
352.87,0.41,0.0112,359.78,0.38,0.01
352.87,0.41,0.0105,359.78,0.15,0.0103
352.87,0.42,0.0097,359.78,0.26,0.0107
352.87,0.6,0.0086,359.78,0.26,0.0112
352.87,0.6,0.0075,359.78,0.5,0.012
352.87,0.49,0.0066,359.78,0.26,0.0125
352.87,0.49,0.0057,359.78,0.26,0.0129
352.87,0.31,0.0052,359.78,0.12,0.0131
352.87,0.35,0.0045,359.78,0.17,0.0134
352.87,0.35,0.0039,359.78,0.17,0.0137
352.87,0.52,0.0029,359.78,0.19,0.014
352.87,0.46,0.0021,359.78,0.19,0.0143
352.87,0.46,0.0013,359.78,0.15,0.0146
352.87,0.46,0.0004,359.78,0.41,0.0153
352.87,0.53,0.0004,359.78,0.41,0.016
352.87,0.53,0.0014,359.78,0.38,0.0166
352.87,0.65,0.0026,359.78,0.42,0.0174
352.87,0.77,0.0039,359.78,0.42,0.0181
352.87,0.77,0.0053,359.78,0.05,0.0181
352.87,0.84,0.0068,359.78,-0.19,0.0178
352.87,0.58,0.0079,359.78,-0.19,0.0174
352.87,0.58,0.0089,359.78,0.09,0.0175
352.87,0.73,0.0102,359.78,0.04,0.0176
352.87,0.73,0.0115,359.78,0.04,0.0176
352.87,0.67,0.0127,359.78,0.26,0.018
352.87,0.52,0.0136,359.78,0.35,0.0186
352.87,0.52,0.0145,359.78,0.35,0.0192
352.87,0.53,0.0154,359.78,0.37,0.0199
352.87,0.77,0.0168,359.78,0.39,0.0205
352.87,0.77,0.0182,359.78,0.39,0.0212
352.87,0.75,0.0195,359.78,0.38,0.0218
352.87,0.83,0.0209,359.78,0.38,0.0225
352.87,0.83,0.0224,359.78,0.17,0.0228
352.87,0.71,0.0236,359.78,0.23,0.0231
352.87,0.73,0.0249,359.78,0.23,0.0235
352.87,0.73,0.0262,359.78,-0.06,0.0234
352.87,1.02,0.028,359.78,0.16,0.0236
352.87,0.95,0.0296,359.78,0.16,0.0239
352.87,0.95,0.0313,359.78,0.32,0.0244
352.87,0.96,0.033,359.78,0.17,0.0247
352.87,0.96,0.0346,359.78,0.17,0.0249
352.87,0.65,0.0358,359.78,0.08,0.025
352.87,0.73,0.037,359.78,0.22,0.0254
352.87,0.73,0.0383,359.78,0.22,0.0257
352.87,0.92,0.0399,359.78,0.08,0.0258
352.87,0.83,0.0413,359.78,0.11,0.026
352.87,0.83,0.0427,359.78,0.11,0.0261
352.87,0.75,0.044,359.78,0.09,0.0262
352.87,0.75,0.0452,359.78,0.09,0.0264
352.87,0.75,0.0465,359.78,0.16,0.0266
352.87,1.02,0.0483,359.78,0,0.0265
352.87,0.83,0.0497,359.78,0,0.0265
